video_name,video_id,like_count,view_count,comment_count
Ken Robinson: Do schools kill creativity?,iG9CE55wbtY,294816,24094581,12489
Al Gore: Averting the climate crisis,r593zLtZxAU,419,65775,179
David Pogue: Simplicity sells,NEjZt0y6OOw,885,104647,60
Majora Carter: Greening the ghetto,gQ-cZRmHfs4,2186,209163,101
Hans Rosling: The best stats you've ever seen,hVimVzgtD6w,39552,4104483,1280
Tony Robbins: Why we do what we do,BwFOwyoH-3g,36044,2671752,1137
Julia Sweeney: Letting go of God,OtIyx687ytk,12962,935196,4775
Joshua Prince-Ramus: Behind the design of Seattle's library,1x0PA0Rnjho,703,95954,28
Dan Dennett: Let's teach religion -- all religion -- in schools,oPI6sKmk8M4,12,281,0
Rick Warren: A life of purpose,640BQNxB5mc,10782,935650,1412
Cameron Sinclair: My wish: A call for open-source architecture,PdcqEjmuxjA,563,86665,30
Jehane Noujaim: My wish: A global day of film,QCFSrb6B5nw,124,14499,14
Larry Brilliant: My wish: Help me stop pandemics,MNhiHf84P9c,3900,247231,229
Jeff Han: The radical promise of the multi-touch interface,ac0E6deG4AU,1520,474121,169
Nicholas Negroponte: One Laptop per Child,W5ySOqtxhbw,196,33862,26
Sirena Huang: An 11-year-old's magical violin,-yOXsK5-SFY,4341,568591,0
"Jennifer Lin: Improvising on piano, aged 14",UU0MX8epDro,581,82328,0
Amy Smith: Simple designs to save a life,FwFkb1x7FJQ,258,42065,19
"Ross Lovegrove: Organic design, inspired by nature",sWqkKYwvTNw,824,113285,59
Jimmy Wales: The birth of Wikipedia,WQR0gx0QBZ4,1162,124465,214
Richard Baraniuk: The birth of the open-source learning revolution,RRymi-lFHpE,638,104009,97
Ze Frank: Nerdcore comedy,FMkJVXi7Rp8,19389,1942785,1074
Mena Trott: Meet the founder of the blog revolution,RlBTxuWCuL8,121,15472,5
"Helen Fisher: Why we love, why we cheat",x-ewvCNguug,19998,1790603,1086
Eve Ensler: Happiness in body and soul,NQvMQEB0j_A,677,97689,126
David Deutsch: Chemical scum that dream of distant quasars,gQliI_WGaGk,2642,162525,195
Richard Dawkins: Why the universe seems so strange,1APOxsp1VFw,23754,1852093,4998
Steven Levitt: The freakonomics of crack dealing,5UGC2nLnaes,29113,2415807,2187
"Malcolm Gladwell: Choice, happiness and spaghetti sauce",iIiAAhUeR6Y,16935,1952120,655
Dan Gilbert: The surprising science of happiness,4q1dgn_C0AU,42368,4268020,1472
Barry Schwartz: The paradox of choice,VO6XEQIsCoM,115174,6132096,5334
Eva Vertes: Meet the future of cancer research,x1y5JrjXav8,157,12805,7
Aubrey de Grey: A roadmap to end aging,8iYpxRXlboQ,4128,635309,2142
Iqbal Quadir: How mobile phones can fight poverty,Ixjxvzb2-Fw,271,36145,15
Jacqueline Novogratz: Invest in Africa's own solutions,8k_XH-ajLo0,150,23418,6
Sasa Vucinic: Why we should invest in a free press,18r6nchs91E,128,21747,8
Ashraf Ghani: How to rebuild a broken state,A6GLw12jywo,2666,210264,0
Burt Rutan: The real future of space exploration,nwfSENkvJXY,725,80683,87
Ben Saunders: Why did I ski to the North Pole?,0Bvq8Vo8F8U,391,57643,19
Bono: My wish: Three actions for Africa,1VOlXwhp00Y,348,66809,86
Edward Burtynsky: My wish: Manufactured landscapes and green education,U2Dd4k63-zM,975,187288,51
Robert Fischell: My wish: Three unusual medical inventions,wiUS82JBu80,148,21192,18
Peter Donnelly: How juries are fooled by statistics,kLmzxmRcUTo,1935,245908,142
Michael Shermer: Why people believe weird things,8T_jwq9ph8k,47361,3052834,7501
Ray Kurzweil: The accelerating power of technology,IfbOyw3CT6A,2250,311154,690
Kevin Kelly: How technology evolves,ap-ZC21bk18,786,86371,53
Peter Gabriel: Fight injustice with raw video,HLuv7lsvWco,259,38691,22
Richard St. John: 8 secrets of success,Y6bbMQXQ180,52875,3516290,755
Rives: If I controlled the Internet,gu_PQBmk-6c,4067,385126,507
Dean Ornish: The killer American diet that's sweeping the planet,RTIY66IPjdY,921,124619,99
Robert Neuwirth: The hidden world of shadow cities,_2Js_g7M60M,324,55103,37
Bjorn Lomborg: Global priorities bigger than climate change,Dtbn9zBfJSs,3218,313408,952
Wade Davis: Dreams from endangered cultures,-QIL5dWP8ss,96,8311,6
Phil Borges: Photos of endangered cultures,NGRnJ-zhSOk,258,27972,17
Martin Rees: Is this our final century?,3qF26MbYgOA,8539,869840,2765
Robert Wright: Progress is not a zero-sum game,wcZFIy2mfyE,1555,93964,141
"Steven Johnson: How the ""ghost map"" helped end a killer disease",KvHL0dHj3RM,604,136651,32
Charles Leadbeater: The era of open innovation,W7raJeMpyM0,799,127635,34
"Pilobolus: A dance of ""Symbiosis""",FOZ6KnVPvIU,11523,2418547,707
Anna Deavere Smith: Four American characters,KR8SwPmCFd4,1360,187209,61
Saul Griffith: Everyday inventions,81qHa3gJB3E,142,25511,6
Neil Gershenfeld: Unleash your creativity in a Fab Lab,yeOFtGlnc-8,23,2237,0
Carl Honoré: In praise of slowness,UhXiHJ8vfuk,2341,220073,129
Bill Clinton: My wish: Rebuilding Rwanda,NR8azpoZbAA,0,15,0
E.O. Wilson: My wish: Build the Encyclopedia of Life,e-txR1WSPBs,741,73996,41
James Nachtwey: My wish: Let my photographs bear witness,AGKZhNK_pHw,3148,441293,126
Jane Goodall: What separates us from chimpanzees?,51z7WRDjOjM,9793,530168,730
Seth Godin: How to get your ideas to spread,xBIVlM435Zg,23646,2036004,781
James Watson: How we discovered DNA,RvdxGDJogtA,4075,330390,808
Al Seckel: Visual illusions that show how we (mis)think,Zru9q94ceXY,37,6957,0
Dean Kamen: To invent is to give,rNgqQNovWTc,1047,66659,89
Juan Enriquez: The life code that will reshape the future,5KdOPY1Iqiw,611,87716,43
